Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Dmitry Voronkov,23,1,61,17,14,31,48,4,793,671,121,0,12,5,0,2,0,13,1,0,1,0,25,6,0,3,0,19.4,1.264,1.041,2.305,1.054,1.142,2.196,2.436,0.487,2.923,0.279,0.230,0.508,114,14.9,64,41,224,298,42.91
Pierre-Luc Dubois,25,1,67,15,16,31,54,-16,948,810,134,3,9,6,0,4,0,15,1,0,4,0,24,7,0,8,0,22.6,0.850,0.906,1.756,0.596,0.994,1.590,2.396,0.399,2.795,0.224,0.239,0.463,127,11.8,89,28,363,370,49.52
Erik Haula,32,1,61,14,17,31,48,0,985,799,66,118,12,1,1,2,0,14,2,1,1,0,26,3,2,3,0,9.7,0.839,1.018,1.857,0.885,1.033,1.918,0.884,1.768,2.652,0.230,0.279,0.508,126,11.1,79,33,366,297,55.20
Cole Perfetti,21,1,63,14,17,31,10,8,824,688,135,0,9,5,0,2,0,11,6,0,1,0,20,11,0,3,0,35.5,0.970,1.178,2.149,0.747,0.913,1.661,2.102,2.522,4.624,0.222,0.270,0.492,128,10.9,24,22,38,63,37.62
Luke Evangelista,21,1,66,14,17,31,18,0,820,691,129,0,12,2,0,1,0,13,4,0,3,1,25,6,0,4,1,19.4,0.930,1.130,2.060,0.947,1.026,1.973,0.843,1.687,2.530,0.212,0.258,0.470,129,10.9,25,21,1,3,25.00
Tyler Bertuzzi,28,1,65,13,18,31,33,-1,949,856,92,0,8,5,0,1,0,17,1,0,7,0,25,6,0,8,0,19.4,0.758,1.050,1.808,0.517,1.099,1.617,2.988,0.598,3.586,0.200,0.277,0.477,124,10.5,75,39,4,9,30.77
Mason Appleton,27,1,66,12,19,31,24,13,966,860,5,99,9,2,1,2,0,18,0,1,4,0,27,2,2,6,0,6.5,0.677,1.073,1.750,0.570,1.141,1.711,18.997,0.000,18.997,0.182,0.288,0.470,100,12.0,89,35,6,7,46.15
Reilly Smith,32,1,60,11,20,31,8,0,967,805,110,51,10,1,0,2,0,13,7,0,4,1,23,8,0,6,1,25.8,0.682,1.240,1.922,0.745,0.968,1.713,0.541,3.784,4.325,0.183,0.333,0.517,125,8.8,45,21,4,8,33.33
Mathieu Joseph,26,1,55,10,21,31,43,4,999,842,47,108,10,0,0,3,0,20,0,1,2,0,30,0,1,5,0,0.0,0.655,1.376,2.031,0.777,1.553,2.330,0.000,0.000,0.000,0.182,0.382,0.564,97,10.3,79,38,22,37,37.29
Jakob Chychrun,25,0,65,9,22,31,52,-18,1361,1194,153,13,5,4,0,0,0,14,8,0,4,0,19,12,0,4,0,38.7,0.366,0.895,1.261,0.232,0.649,0.881,1.441,2.881,4.322,0.138,0.338,0.477,166,5.4,52,124,0,0,0.00
Jake Sanderson,21,0,62,8,23,31,19,11,1382,1038,171,172,6,2,0,2,0,16,7,0,2,2,22,9,0,4,2,29.0,0.336,0.966,1.302,0.336,0.895,1.230,0.675,2.364,3.039,0.129,0.371,0.500,133,6.0,36,113,0,0,0.00
Vladislav Namestnikov,31,1,63,8,23,31,31,15,897,727,79,89,4,3,1,0,0,22,1,0,6,2,26,4,1,6,2,12.9,0.509,1.464,1.973,0.314,1.727,2.041,2.146,0.715,2.862,0.127,0.365,0.492,81,9.9,75,40,170,295,36.56
Shea Theodore,28,0,31,4,27,31,0,3,1377,1135,232,8,2,2,0,1,0,17,10,0,2,0,19,12,0,3,0,38.7,0.337,2.277,2.614,0.205,1.738,1.943,0.999,4.993,5.992,0.129,0.871,1.000,72,5.6,4,50,0,0,0.00
Alex Pietrangelo,33,0,61,4,27,31,22,-6,1422,1108,146,167,4,0,0,2,1,18,8,1,6,2,22,8,1,8,3,25.8,0.166,1.120,1.286,0.213,0.958,1.171,0.000,3.224,3.224,0.066,0.443,0.508,135,3.0,45,150,0,0,0.00
Cam Fowler,32,0,66,4,27,31,16,-31,1475,1138,145,191,2,2,0,0,0,13,13,1,4,1,15,15,1,4,1,48.4,0.148,0.998,1.146,0.096,0.623,0.718,0.749,4.865,5.614,0.061,0.409,0.470,91,4.4,35,94,0,0,0.00
Jake Neighbours,21,1,67,21,9,30,13,-15,922,781,119,21,14,7,0,2,0,4,5,0,1,0,18,12,0,3,0,40.0,1.223,0.524,1.747,0.963,0.275,1.238,3.135,2.239,5.374,0.313,0.134,0.448,123,17.1,114,39,9,16,36.00
Gabriel Vilardi,24,1,38,16,14,30,10,12,1016,817,199,0,10,6,0,5,0,9,5,0,1,0,19,11,0,6,0,36.7,1.491,1.304,2.795,1.159,1.043,2.203,2.851,2.376,5.227,0.421,0.368,0.789,93,17.2,10,20,26,31,45.61
Joshua Norris,24,1,50,16,14,30,22,-6,1058,826,189,42,11,5,0,3,0,6,7,1,0,0,17,12,1,3,0,40.0,1.089,0.953,2.041,0.959,0.523,1.482,1.903,2.664,4.568,0.320,0.280,0.600,115,13.9,86,30,328,301,52.15
William Eklund,21,1,64,10,20,30,30,-40,1114,914,155,44,5,5,0,4,1,13,6,1,3,0,18,11,1,7,1,36.7,0.505,1.010,1.515,0.308,0.800,1.107,1.812,2.175,3.987,0.156,0.313,0.469,108,9.3,31,58,64,140,31.37
Andrew Copp,29,1,66,10,20,30,18,5,986,791,46,148,8,1,1,2,0,16,2,2,1,0,24,3,3,3,0,10.0,0.553,1.106,1.658,0.551,1.102,1.654,1.161,2.323,3.484,0.152,0.303,0.455,97,10.3,26,39,438,376,53.81
