Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Kyle Okposo,35,1,25,3,4,7,10,-2,853,703,57,92,2,1,0,0,0,4,0,0,0,0,6,1,0,0,0,14.3,0.506,0.675,1.181,0.409,0.818,1.228,2.519,0.000,2.519,0.120,0.160,0.280,40,7.5,13,16,61,71,46.21
Ridly Greig,21,1,9,2,5,7,4,7,857,670,109,77,1,1,0,0,0,5,0,0,1,0,6,1,0,1,0,14.3,0.933,2.332,3.265,0.596,2.982,3.578,3.666,0.000,3.666,0.222,0.556,0.778,18,11.1,15,3,29,49,37.18
Alex Killorn,34,1,14,2,5,7,10,-7,1054,841,161,51,0,2,0,0,0,4,1,0,0,0,4,3,0,0,0,42.9,0.488,1.220,1.708,0.000,1.223,1.223,3.187,1.594,4.781,0.143,0.357,0.500,33,6.1,8,7,3,8,27.27
Zachary Benson,18,1,15,2,5,7,10,-3,872,778,87,6,2,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0.0,0.550,1.376,1.926,0.617,1.542,2.159,0.000,0.000,0.000,0.133,0.333,0.467,20,10.0,3,5,1,2,33.33
Jalen Chatfield,27,0,19,2,5,7,4,2,880,813,2,64,2,0,0,0,0,5,0,0,1,0,7,0,0,1,0,0.0,0.430,1.076,1.506,0.466,1.165,1.631,0.000,0.000,0.000,0.105,0.263,0.368,20,10.0,11,12,0,0,0.00
Jordan Greenway,26,1,21,2,5,7,21,-1,983,792,8,182,2,0,0,0,0,5,0,0,1,1,7,0,0,1,1,0.0,0.349,0.871,1.220,0.433,1.082,1.515,0.000,0.000,0.000,0.095,0.238,0.333,26,7.7,29,20,1,7,12.50
Ben Chiarot,32,0,23,2,5,7,16,8,1167,1025,11,129,2,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0.0,0.268,0.670,0.939,0.305,0.763,1.068,0.000,0.000,0.000,0.087,0.217,0.304,34,5.9,36,40,0,0,0.00
Michael Rasmussen,24,1,23,2,5,7,15,6,908,779,4,124,2,0,0,0,0,4,0,1,0,0,6,0,1,0,0,0.0,0.345,0.861,1.206,0.402,0.803,1.205,0.000,0.000,0.000,0.087,0.217,0.304,32,6.3,20,25,28,37,43.08
Kevin Korchinski,19,0,23,2,5,7,6,-12,1167,1032,121,14,2,0,0,1,1,2,3,0,0,0,4,3,0,1,1,42.9,0.268,0.670,0.938,0.303,0.303,0.607,0.000,3.879,3.879,0.087,0.217,0.304,24,8.3,2,26,0,0,0.00
Nick Leddy,32,0,24,2,5,7,6,1,1292,1160,2,130,1,0,1,0,0,5,0,0,1,0,6,0,1,1,0,0.0,0.232,0.580,0.812,0.129,0.647,0.776,0.000,0.000,0.000,0.083,0.208,0.292,25,8.0,10,26,0,0,0.00
